Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Illa","Projecte Mut","Col·lecció de Satèl·lits","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES78G1340005","3ABOdeDjlo3uiVGsx0vVrN"
"Mai","Pèl De Gall","Mai","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2217501","0xyYjogyuwB9gHA0vEtM3o"
"Quan Somrius, el Món Somriu Amb Tu","Xanguito","Milions D'Estrelles","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D1900839","3twuIX6oWvYcRKlo9SUKcq"
"Una daixona de pols","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100073","4eoVLGfE5S4wHYE4byWgfs"
"Alçau els Gots","Pèl De Gall","A Sa Vostra Salut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2014004","0gyuVjZ3HEGpLdk4tgF7gp"
"Corr!","Anegats","Paraules","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8570753603","4SC5lTqvtxRPHthCs6oUZU"
"Més Fàcil","Xanguito","Beix","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES17D1700268","6RkhpSbUc5iTk2l27rDykC"
"Aquesta Nit és Nostra","OR (O-ERRA)","En Veu Baixa","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571972503","2mgqhgJ5XyssLWsTVxVP4v"
"Ressaca","Pèl De Gall","A Sa Vostra Salut","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2014008","3aSh5HCEYI4miKMb2Hggbt"
"Caramel·let","Antònia Font","Un minut estroboscòpica","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES66S2100075","1Y5oOuO76UweG42A5f9uC7"
"Ai Muare","Rudymentari","CONTRACORRENT","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES16E1900084","5YNfMbbG9ny1q0whhiOvka"
"No Fris","Anegats","Ànima niu","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES8571973004","65uFAgJP1wOs4HT6jh1VL1"
"Un Dia Perfecte","Caïm Riba","Llunes de Plutó","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES80A2115201","7EdTGaediSkNw1rG9a730V"
"Correllengua","Oprimits","Endavant","🏝️ Música Balear 🏝️ - Hits de Mallorca, Menorca, Eivissa i Formentera 2026","Playlist","ES5951304428","3mFxOy5QKXCxP7bNdGUqr0"
